instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
grow7,-47787811.815,optimal,-47787811.8147115,6.036977219428426e-12,0.08909,0.081044,0.105208,1932,optimal,-47787811.8147115,6.036977219428426e-12,0.012361,0.011444,0.015639,15,1,7.207,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
israel,-896644.82186,optimal,-896644.821863046,3.3971164739267804e-12,0.010063,0.008959,0.015233,176,optimal,-896644.8218630459,3.396986639549791e-12,0.003961,0.003625,0.006254,15,1,2.54,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
kb2,-1749.9001299,optimal,-1749.9001299062058,3.5464521611883195e-12,0.00119,0.001089,0.002195,51,optimal,-1749.9001299062056,3.546322225958555e-12,0.000739,0.000681,0.001231,15,1,1.61,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
lotfi,-25.264706062,optimal,-25.264706061880016,4.74900622496902e-12,0.00636,0.00593,0.0118,243,optimal,-25.264706061880002,4.749568703498567e-12,0.002467,0.002379,0.003351,15,1,2.578,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
pilot4,-2581.1392641,optimal,-2581.139258883888,2.0208565489991203e-09,0.098307,0.090918,0.133173,1060,optimal,-2581.1392588838853,2.0208576060843163e-09,0.027824,0.026992,0.031742,15,1,3.533,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.001268,0.001048,0.001605,41,optimal,-266.61600000000027,1.0660166468030429e-15,0.001241,0.001205,0.002634,15,1,1.021,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.002073,0.001834,0.003165,88,optimal,-52.20206121170723,5.608301983062969e-12,0.00106,0.00101,0.001096,15,1,1.955,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
sc205,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.005241,0.004819,0.007219,209,optimal,-52.20206121170721,5.608710324832966e-12,0.002239,0.002148,0.002591,15,1,2.341,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.000927,0.00085,0.00125,42,optimal,-64.5750770585645,6.743958545329677e-12,0.000992,0.000607,0.001117,15,1,0.935,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
sc50b,-70.0,optimal,-69.99999999999999,2.0301221021717148e-16,0.000904,0.000883,0.001451,42,optimal,-69.99999999999999,2.0301221021717148e-16,0.001163,0.001072,0.00246,15,1,0.777,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
