instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,optimal,,6902235.999548811,6902235.9995,4.8811547458171844e-05,7.071845625346303e-12,1,1,,1,0.0,0,0.041152,0.0202423,817,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 3.524e+00 (9.083e-02 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-72555248.12984605,-72462405.908,92842.22184604406,0.0012812467469534307,0,1,,0,0.0,0,2.043409,1.9993742,7232,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.194e+02 (1.194e+00 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-4302260.261206586,-4302147.6065,112.65470658615232,2.6185690703858075e-05,0,1,,0,0.0,0,5.300326,5.1853918,7294,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357481,-106870941.29,0.0035748034715652466,3.344972382965007e-11,1,1,,1,0.0,0,0.269188,0.1566559,396,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48254484,-160834336.48,0.0025448501110076904,1.582280355491221e-11,1,1,,1,0.0,0,0.128998,0.0641561,588,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.8147118,-47787811.815,0.0002881959080696106,6.030740833777819e-12,1,1,,1,0.0,0,0.045208,0.0087003,180,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.0,0,0.060259,0.018548,251,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062047,-1749.9001299,6.20480022917036e-09,3.545802485039498e-12,1,1,,1,0.0,0,0.043055,0.0014023,70,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.26470606188003,-25.264706062,1.1996803550573532e-10,4.748443746439472e-12,1,1,,1,0.0,0,0.028703,0.0051514,255,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,optimal,,-58063.743701122745,-58063.743701,1.227454049512744e-07,2.1139767629065298e-12,1,1,,1,0.0,0,0.235746,0.1866219,1604,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,numerical_error,"phase 1 ratio test found no blocking variable, which cannot happen for an objective bounded below by zero",0.0,1497185.1665,1497185.1665,1.0,0,,,0,0.0,0,9.452998,9.1807218,5570,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,time_limit,time limit 59.9842s reached,699998.4474779998,320.61972906,699677.8277489399,2182.2669172613637,0,,,0,0.0,0,120.033838,120.0035193,477995,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,optimal,,14076036.487562723,14076073.035,36.5474372766912,2.5964228223181564e-06,0,1,,0,0.0,0,0.412438,0.3439637,5164,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 7.099e-01 (1.273e-02 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-9380.755284148318,-9380.7580773,0.0027931516833632486,2.977533009962434e-07,0,1,,0,0.0,0,0.992366,0.9558034,9460,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.501e-03 (1.501e-03 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-557.4897299242572,-557.40430007,0.08542985425719962,0.00015326371584587913,0,1,,0,0.0,0,45.492488,45.4318716,33714,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258920376,-2581.1392641,5.179624167794827e-06,2.0067201486708137e-09,1,1,,1,0.0,0,0.146176,0.1127474,1875,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,time_limit,time limit 60s reached,308.7657184217047,301.71072827,7.054990151704715,0.023383292308357114,0,,,0,0.0,0,120.30107,120.1751064,32272,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,optimal,,-4497.2761882188715,-4497.2761882,1.8871105567086488e-08,4.196118890051869e-12,1,1,,1,0.0,0,9.015122,8.9723337,26996,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.01929,0.0005845,45,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.019794,0.0016133,106,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.20206121170713,-52.202061212,2.928643993982405e-10,5.610207577989622e-12,1,1,,1,0.0,0,0.025191,0.0038982,251,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
