instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 2.3e-07 / 3.7e-07); the model may be infeasible or unbounded, which this method does not certify",58644.32491999999,-58063.743701,116708.06862099998,2.0099990317880585,0,,,0,0.0,0,0.094585,0.059101,13,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,,1497185.1664962152,1497185.1665,3.7848949432373047e-06,2.5280072418065227e-12,1,1,,1,0.0,0,7.526273,7.3595884,24,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,optimal,,320.61969968877565,320.61972906,2.9371224343321956e-05,9.160766378735694e-08,1,1,,1,0.0,0,0.103604,0.0795744,71,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.9e-02 / 5.6e-06, gap 5.2e+03",34961164.25655392,14076073.035,20885091.221553918,1.48372995576418,0,,,0,0.0,0,0.582758,0.5465787,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,feasible,the interior-point iteration stalled after 128 iterations (steps 6.1e-14 / 3.6e-11); the best iterate is reported as a feasible point,-9380.75527823516,-9380.7580773,0.0027990648413833696,2.9838365069414573e-07,0,1,,0,0.0,0,0.282155,0.2522828,128,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 6.1e-05 / 6.9e-06, gap 8.5e+05",-415.9053661423011,-557.40430007,141.49893392769889,0.2538533231801928,0,,,0,0.0,0,9.205689,9.1487848,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258852822,-2581.1392641,5.247178251011064e-06,2.0328923448617823e-09,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.167871,0.14237,102,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.1e-16 / 4.1e-08, gap 1.9e-10",301.71073842494354,301.71072827,1.0154943538509542e-05,3.365788017130738e-08,0,,,0,0.0,0,26.460445,26.368717,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,numerical_error,"the interior-point iteration stalled after 144 iterations (steps 3.3e-11 / 8.9e-12); the model may be infeasible or unbounded, which this method does not certify",0.0,-4497.2761882,4497.2761882,1.0,0,,,0,0.0,0,0.67223,0.6421557,144,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.6159999989839,-266.616,1.0160761121369433e-09,3.811009512320878e-12,1,1,,1,0.0,0,0.019563,0.0012649,10,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206120321447,-52.202061212,8.785526972587832e-09,1.682984688460587e-10,1,1,,1,0.0,0,0.017263,0.00117,16,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.20206120834065,-52.202061212,3.659344827156019e-09,7.009962331362548e-11,1,1,,1,0.0,0,0.018389,0.0023593,23,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507700877433,-64.575077059,5.02256654044686e-08,7.77787153990992e-10,1,1,,1,0.0,0,0.02075,0.0007473,14,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999936568,-70.0,6.343157110677566e-10,9.061653015253666e-12,1,1,,1,0.0,0,0.020183,0.000716,13,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.060768181,-14753433.061,0.00023181922733783722,1.571290060959712e-11,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.040328,0.0132218,59,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.8243309837,-2331389.2548,0.5695309834554791,2.4428824242150705e-07,1,1,,1,0.0,0,0.02281,0.0036773,53,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,18416.759028,nan,nan,0,,,0,0.0,0,0.169757,0.1494867,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scfxm2,64d44da9d2e6329705e73b1e083f52a7560124c13af4c67ff60d55b0a46b0f0e,660,914,5183,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,36660.261565,nan,nan,0,,,0,0.0,0,0.315264,0.2905712,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scfxm3,515b442feba7cb583e03d4466da264782d898cc69093848052a7fa98ba4eac7b,990,1371,7777,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap nan",nan,54901.25455,nan,nan,0,,,0,0.0,0,0.482101,0.4604099,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248229306777,1878.1248227,2.3067764232109766e-07,1.2282338188229393e-10,1,1,,1,0.0,0,0.024015,0.0040742,15,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538055235,904.29998619,0.00303238447656895,3.3532948389671035e-06,0,1,,0,0.0,0,0.035426,0.0129104,22,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666709470576,8.6666666743,3.5170575785059555e-08,4.058143356240276e-09,1,1,,1,0.0,0,0.022695,0.0033346,9,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000010048958,50.500000078,2.2489579976081586e-08,4.453382166603011e-10,1,1,,1,0.0,0,0.028719,0.0056735,11,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
