instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,numerical_error,"the interior-point iteration stalled after 11 iterations (steps 8.3e-08 / 1.7e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,-25.264706062,25.264706062,1.0,0,,,0,0.0,0,0.026038,0.003409,11,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 2.3e-07 / 3.7e-07); the model may be infeasible or unbounded, which this method does not certify",58644.32491999999,-58063.743701,116708.06862099998,2.0099990317880585,0,,,0,0.0,0,0.071007,0.043374,13,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.02s), the interior point's answer stands",1497185.166496215,1497185.1665,3.7851277738809586e-06,2.5281627540630316e-12,1,1,,1,0.0,0,8.893902,8.6706192,24,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,optimal,"crossover push: 13 superbasic, 13 pivots in the push; crossover: 15 pivots from the interior point's basis guess in 0.00s, after 86 interior point iterations",320.61972906426325,320.61972906,4.263256414560601e-09,1.3296924762115264e-11,1,1,,1,0.0,0,0.121429,0.1014743,101,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.8e-02 / 2.2e-04, gap 4.6e+03",34961652.09842018,14076073.035,20885579.06342018,1.4837646132901143,0,,,0,0.0,0,0.558741,0.5276989,300,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,feasible,the interior-point iteration stalled after 129 iterations (steps 1.8e-11 / 7.1e-10); the best iterate is reported as a feasible point,-9380.755278344495,-9380.7580773,0.0027989555055683013,2.9837199536584843e-07,0,1,,0,0.0,0,0.297166,0.2747012,129,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 6.7e-05 / 7.4e-06, gap 7.7e+05",-415.9053661423011,-557.40430007,141.49893392769889,0.2538533231801928,0,,,0,0.0,0,11.957168,11.8690713,300,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,"crossover push: 44 superbasic, 14 pivots in the push; crossover: 24 pivots from the interior point's basis guess in 0.01s, after 107 interior point iterations",-2581.1392588838885,-2581.1392641,5.216111730987905e-06,2.020856372818254e-09,1,1,,1,0.0,0,0.169908,0.1453016,131,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 5.7e-17 / 2.5e-08, gap 9.9e-16",301.7106122418408,301.71072827,0.00011602815919786735,3.845675619928043e-07,0,,,0,0.0,0,36.643941,36.5273184,300,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,feasible,"the iterate stopped being finite at iteration 288; the best earlier iterate is reported as a feasible point (relative gap 8.5e-74, infeasibility 9.8e-10 / 1.5e-08)",-4497.276188218867,-4497.2761882,1.8866558093577623e-08,4.19510772833563e-12,0,1,,0,0.0,0,1.219132,1.1725414,288,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,"crossover push: 73 superbasic, 49 pivots in the push; crossover: 53 pivots from the interior point's basis guess in 0.00s, after 10 interior point iterations",-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.019696,0.0038608,63,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
