family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
near_parallel,twin rows differing by a relative 10^-k,12,73012,14,10,optimal,167.00000000000594,167.0,3.55696842572122e-14,,,1,8,0.0008849,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,71013,14,10,optimal,262.0,262.0,0.0,,,1,8,0.0002966,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,72013,14,10,optimal,32.0,32.0,0.0,,,1,7,0.000289,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,73013,14,10,optimal,-443.9999999999999,-444.0,2.56051436309946e-16,,,1,8,0.0004634,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,71014,14,10,optimal,3.999999999999975,4.0,6.217248937900877e-15,,,1,10,0.0003377,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,72014,14,10,optimal,94.00000000000014,94.0,1.5117930548087238e-15,,,1,9,0.0002819,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,73014,14,10,optimal,-32.000000000000114,-32.0,3.552713678800501e-15,,,1,11,0.0003202,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,71015,14,10,optimal,475.00000000000006,475.0,1.1967035549643792e-16,,,1,8,0.0004091,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,72015,14,10,optimal,87.99999999999994,88.0,6.459479416000911e-16,,,1,11,0.0004163,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,73015,14,10,optimal,-291.0,-291.0,0.0,,,1,8,0.0003582,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
