case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,off,2,optimal,7615.0,0,612,2.6509103,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,basic,2,optimal,7615.0,0,612,2.7131817,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,detailed,2,optimal,7615.0,0,612,3.0304107,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,main,3,optimal,7615.0,0,612,2.7285749,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,off,3,optimal,7615.0,0,612,2.7435027,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,basic,3,optimal,7615.0,0,612,2.72726,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,detailed,3,optimal,7615.0,0,612,2.6867564,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,main,4,optimal,7615.0,0,612,2.7412935,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,off,4,optimal,7615.0,0,612,2.7912002,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,basic,4,optimal,7615.0,0,612,3.8116628,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,detailed,4,optimal,7615.0,0,612,2.7909486,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,main,5,optimal,7615.0,0,612,2.6357079,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,off,5,optimal,7615.0,0,612,2.7173126,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,basic,5,optimal,7615.0,0,612,2.6805328,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
