instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,optimal,,904.9999999254647,904.99999993,4.535195330390707e-09,5.011265558830382e-12,1,1,,1,0.0,0,0.112782,0.0568493,928,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,,1412.25,1412.25,0.0,0.0,1,1,,1,0.0,0,0.050206,0.0149622,305,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,optimal,,-76589.31857918546,-76589.318579,1.8546415958553553e-07,2.4215407974185566e-12,1,1,,1,0.0,0,0.029223,0.0049089,232,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414179,-415.73224074,1.4179022400639951e-09,3.4106140951207937e-12,1,1,,1,0.0,0,0.034974,0.0034621,114,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,,1793324.537970356,1793324.538,2.964399755001068e-05,1.6530191229676178e-11,1,1,,1,0.0,0,0.063892,0.0288323,555,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,,1798714.7004453917,1798714.7004,4.539173096418381e-05,2.523564796245316e-11,1,1,,1,0.0,0,0.035629,0.0097323,397,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,optimal,,-251.26695119296397,-251.26695119,2.9639863896591123e-09,1.1796164898016537e-11,1,1,,1,0.0,0,0.096555,0.0634619,884,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,,1257.6995,1257.6995,0.0,0.0,1,1,,1,0.0,0,0.037722,0.0070294,47,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,,1406.0175,1406.0175,0.0,0.0,1,1,,1,0.0,0,0.057594,0.0156719,187,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.976219436416,-41131.976219,4.3641921365633607e-07,1.0610217494357637e-11,1,1,,1,0.0,0,0.035044,0.002577,64,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
tuff,768782d2ab2d7d044061f56ba54ddd53cf5ea0666a965edd33d48803098e15e2,333,587,4520,optimal,,0.2921477650936128,0.29214776509,3.612776744432722e-12,3.612776744432722e-12,1,1,,1,0.0,0,0.078122,0.0405075,991,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
wood1p,af3cac48f0727f1d9e1f1ecfa6de30168678800b39e38a808b5df90a48d61330,244,2594,70215,optimal,,1.44290241157341,1.4429024116,2.6590063484377424e-11,1.8428178697748754e-11,1,1,,1,0.0,0,0.212605,0.1069451,849,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
