instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,numerical_error,"the iterate stopped being finite at iteration 30; the best earlier iterate does not meet the feasibility tolerances (relative gap 1.1e+00, infeasibility 1.7e-01 / 7.1e-01, merit 1.7e+02)",-15493.227794499999,-4302147.6065,4286654.3787055,0.9963987224029478,0,,,0,0.0,0,0.718096,0.3097338,30,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357535,-106870941.29,0.003575339913368225,3.345474335878028e-11,1,1,,1,0.0,0,0.234487,0.0113146,16,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48256293,-160834336.48,0.0025629401206970215,1.5935279597561104e-11,1,1,,1,0.0,0,0.604869,0.0385898,17,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.8147115,-47787811.815,0.00028849393129348755,6.036977219428426e-12,1,1,,1,0.0,0,0.241587,0.0088858,16,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630428,-896644.82186,3.0427472665905952e-06,3.3934811113710782e-12,1,1,,1,0.0,0,0.441706,0.0652832,24,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001298946623,-1749.9001299,5.337597031029873e-09,3.050229518718246e-12,1,1,,1,0.0,0,0.18593,0.0021755,18,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,numerical_error,"the interior-point iteration stalled after 11 iterations (steps 8.3e-08 / 1.7e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,-25.264706062,25.264706062,1.0,0,,,0,0.0,0,0.290961,0.00719,11,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 2.3e-07 / 3.7e-07); the model may be infeasible or unbounded, which this method does not certify",58644.32491999999,-58063.743701,116708.06862099998,2.0099990317880585,0,,,0,0.0,0,0.449911,0.0754205,13,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,,1497185.166496215,1497185.1665,3.7851277738809586e-06,2.5281627540630316e-12,1,1,,1,0.0,0,14.137352,13.5996547,24,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,optimal,,320.61976699169117,320.61972906,3.793169116761419e-05,1.1830741445270121e-07,1,1,,1,0.0,0,0.536228,0.1277419,86,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
