instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,,1412.25,1412.25,0.0,0.0,1,1,,1,0.0,0,0.046262,0.0101938,269,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,optimal,,-76589.31857918552,-76589.318579,1.85522367246449e-07,2.4223007945303396e-12,1,1,,1,0.0,0,0.031115,0.0038782,136,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414191,-415.73224074,1.419095951860072e-09,3.4134854427794508e-12,1,1,,1,0.0,0,0.038562,0.0036132,133,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,,1793324.5379703562,1793324.538,2.9643764719367027e-05,1.6530061397825488e-11,1,1,,1,0.0,0,0.090642,0.0529784,449,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,,1798714.7004453922,1798714.7004,4.5392196625471115e-05,2.5235906848026957e-11,1,1,,1,0.0,0,0.061959,0.0252024,300,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,optimal,,-251.2669511929633,-251.26695119,2.9633042686327826e-09,1.17934501716146e-11,1,1,,1,0.0,0,0.085717,0.0391988,448,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,,1257.6995000000002,1257.6995,2.2737367544323206e-13,1.8078537476021266e-16,1,1,,1,0.0,0,0.039183,0.0047312,58,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,,1406.0175000000002,1406.0175,2.2737367544323206e-13,1.617146838095771e-16,1,1,,1,0.0,0,0.042651,0.0108745,200,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.97621943643,-41131.976219,4.3643376557156444e-07,1.0610571280306333e-11,1,1,,1,0.0,0,0.034089,0.0023326,101,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
tuff,768782d2ab2d7d044061f56ba54ddd53cf5ea0666a965edd33d48803098e15e2,333,587,4520,optimal,,0.2921477650936128,0.29214776509,3.612776744432722e-12,3.612776744432722e-12,1,1,,1,0.0,0,0.046741,0.0143815,239,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
wood1p,af3cac48f0727f1d9e1f1ecfa6de30168678800b39e38a808b5df90a48d61330,244,2594,70215,optimal,,1.4429024115734101,1.4429024116,2.65898414397725e-11,1.8428024810276435e-11,1,1,,1,0.0,0,0.44139,0.2836345,406,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
